,index,speaker,turn_type,text_annotated,text_user,text_correct
0,1,student,student,"<CSINTRA corr=""Mah, everything's alright"">MAH TUTTO BENE</CSINTRA>",MAH TUTTO BENE,"Mah, everything's alright"
1,3,student,student,HOW ARE YOU ?,HOW ARE YOU ?,HOW ARE YOU ?
2,5,student,student,"<CSINTER corr=""Can you speak in English?"">puoi parlare in inglese</CSINTER>",puoi parlare in inglese,Can you speak in English?
3,7,student,student,"<DMCC corr=""How"">how</DMCC> are you?  are you?",how are you?,How are you?
4,9,student,student,"<DMCC corr=""Can"">can</DMCC> you speak  you speak <DMCC corr=""English"">english</DMCC> please?  please?",can you speak english please?,Can you speak English please?
5,11,student,student,"<DMCC corr=""Yesterday"">yesterday</DMCC>  <DMCC corr=""I"">i</DMCC>  <XVPR corr=""wanted to""><LSV corr=""wanted"">could</LSV> </XVPR> play football but  play football but <DMCC corr=""I"">i</DMCC> had a dinner in a restaurant in my town... had a dinner in a restaurant in my town...<DMCC corr=""What"">what</DMCC> did you do yesterday evening did you do yesterday evening<QM corr=""?"">\0</QM>",yesterday i could  play football but i had a dinner in a restaurant in my town...what did you do yesterday evening\0,Yesterday I wanted to play football but wanted I had a dinner in a restaurant in my town... What did you do yesterday evening ?
6,13,student,student,"<DMCC corr=""Hi"">hi</DMCC>",hi,Hi
7,16,student,student,"<DMCC corr=""Sorry"">sorry</DMCC> PI how much  PI how much <GVAUX corr=""does"">\0</GVAUX>  <WO corr=""the ticket cost"">cost the ticket</WO> for the bus  for the bus <WR corr=""\0"">driver</WR> in your town?  in your town?",sorry PI how much \0 cost the ticket for the bus driver in your town?,Sorry PI how much does the ticket cost for the bus \0 in your town?
8,18,student,student,"<DMCC corr=""I"">i</DMCC> want the ticket for the  want the ticket for the <DMCC corr=""London"">london</DMCC> bus.  bus.",i want the ticket for the london bus.,I want the ticket for the London bus.
9,20,student,student,"Is <DMCC corr=""London"">london</DMCC> an  an <LWCO corr=""affordable"">economic</LWCO> city?  city?",Is london an economic city?,Is London an affordable city?
10,22,student,student,"<DMCC corr=""I"">I</DMCC>  <XVPR corr=""want to"">WANT</XVPR>  <LP corr=""go on holiday"">DO A HOLIDAY</LP> IN LONDON IN LONDON<QC corr=""."">?</QC>",I WANT DO A HOLIDAY IN LONDON?,I want to go on holiday IN LONDON .
11,24,student,student,"I LOVE <LWCO corr=""Madame Tussauds"">MADAME TUSSARD</LWCO>",I LOVE MADAME TUSSARD,I LOVE Madame Tussauds
12,26,student,student,"LONDON IS A <FS corr=""top"">TO</FS> CITY  CITY",LONDON IS A TO CITY,LONDON IS A top CITY
13,28,student,student,"HOW MUCH <GVAUX corr=""does"">\0</GVAUX>  <WO corr=""the ticket for the plane to London cost"">COST THE TICKET for the plane <LSPR corr=""to"">for</LSPR> LONDON</WO>? ?",HOW MUCH \0 COST THE TICKET for the plane for LONDON?,HOW MUCH does the ticket for the plane to London cost? to LONDON
14,30,student,student,"I <XVPR corr=""want to"">WANT</XVPR> ORGANIZE a holiday with my friends ORGANIZE a holiday with my friends<QC corr=""."">?</QC>",I WANT ORGANIZE a holiday with my friends?,I want to ORGANIZE a holiday with my friends .
15,32,student,student,"We love <GWC corr=""different"">difference</GWC> countries for example  countries for example <DMCC corr=""New York"">new york</DMCC>, , <DMCC corr=""London"">london</DMCC>, , <DMCC corr=""Madrid"">madrid</DMCC>......<DMCC corr=""What"">what</DMCC>'s your favorite 's your favorite <GNN corr=""city"">cities</GNN>? ?","We love difference countries for example new york, london, madrid...what's your favorite cities?","We love different countries for example New York, London, Madrid... What's your favorite city?"
16,34,student,student,"LAST year I <XVPR corr=""stayed in"">STAYED</XVPR> BARCELONA with my school  BARCELONA with my school",LAST year I STAYED BARCELONA with my school,LAST year I stayed in BARCELONA with my school
17,36,student,student,"I LOVE  IT... <DMCC corr=""I"">I</DMCC> ATE PAELLA IN A RESTAURANT THAT  ATE PAELLA IN A RESTAURANT THAT <GPP corr=""\0"">IT</GPP><WM corr=""was"">\0</WM> NEAR THE CENTRE  NEAR THE CENTRE",I LOVE  IT... I ATE PAELLA IN A RESTAURANT THAT IT\0 NEAR THE CENTRE,I LOVE  IT... I ATE PAELLA IN A RESTAURANT THAT \0 was NEAR THE CENTRE
18,38,student,student,"No we <LSV corr=""stayed"">lived</LSV> in  in <GA corr=""an"">\0</GA>  <DMCC corr=""Italian"">italian</DMCC> hotel and for lunch and for dinner we ate  hotel and for lunch and for dinner we ate <DMCC corr=""Italian"">italian</DMCC>  <LSN corr=""cuisine"">dish</LSN>. .",No we lived in \0 italian hotel and for lunch and for dinner we ate italian dish.,No we stayed in an Italian hotel and for lunch and for dinner we ate Italian cuisine.
19,40,student,student,"<DMCC corr=""Yes"">yes</DMCC> because  because <DMCC corr=""I"">i</DMCC> love  love <DMCC corr=""Italian"">italian</DMCC>  <LSN corr=""cuisine"">dish</LSN> but in  but in <GWC corr=""Spain"">spanish</GWC> we can find  we can find <GA corr=""some"">a</GA> good  good <GNN corr=""dishes"">dish</GNN>",yes because i love italian dish but in spanish we can find a good dish,Yes because I love Italian cuisine but in Spain we can find some good dishes
20,42,student,student,Paella is very good,Paella is very good,Paella is very good
21,44,student,student,Last summer with my friends,Last summer with my friends,Last summer with my friends
22,46,student,student,"<DMCC corr=""I"">I</DMCC> don't remember it but  don't remember it but <GPP corr=""it"">\0</GPP>  <GVT corr=""was"">is</GVT> very good ahah  very good ahah",I don't remember it but \0 is very good ahah,I don't remember it but it was very good ahah
23,48,student,student,"<DMCC corr=""We"">we</DMCC>  <XVCO corr=""love to"">love</XVCO>  <LSN corr=""be"">stay</LSN> together  together",we love stay together,We love to be together
24,50,student,student,"<DMCC corr=""No"">no</DMCC> we  we <XVCO corr=""love to"">love</XVCO> play football and after the match we can drink.  play football and after the match we can drink.",no we love play football and after the match we can drink.,No we love to play football and after the match we can drink.
25,52,student,student,"<DMCC corr=""We"">we</DMCC> play in a team  play in a team",we play in a team,We play in a team
26,54,student,student,"<DMCC corr=""But"">but</DMCC> now  now <WO corr=""can we"">we can</WO> change the  change the <LWCO corr=""topic"">argument</LWCO>? ?",but now we can change the argument?,But now can we change the topic?
27,56,student,student,HOW ARE YOU PI?,HOW ARE YOU PI?,HOW ARE YOU PI?
28,58,student,student,"I'm <WR corr=""\0"">stay</WR>  <LSPR corr=""at"">in</LSPR> university in  university in <DMCC corr=""Macerata"">macerata</DMCC>",I'm stay in university in macerata,I'm \0 at university in Macerata
29,60,student,student,"<DMCC corr=""No"">no</DMCC>  <DMCC corr=""I"">i</DMCC> live in  live in <DMCC corr=""Pieve Torina"">pieve torina</DMCC> and when  and when <DMCC corr=""I"">i</DMCC> have a lesson we take the car and  have a lesson we take the car and <XVPR corr=""drive to""><LSV corr=""drive"">arrive</LSV> in</XVPR> my university.  my university.",no i live in pieve torina and when i have a lesson we take the car and arrive in my university.,No I live in Pieve Torina and when I have a lesson we take the car and drive to my university. drive in
30,62,student,student,"Macerata is  a <FS corr=""historical"">hystorical</FS> city and  city and <GA corr=""\0"">the</GA>  <GDO corr=""its"">his</GDO> university is  university is <FS corr=""beautiful"">beatiful</FS>. .",Macerata is  a hystorical city and the his university is beatiful.,Macerata is  a historical city and \0 its university is beautiful.
31,64,student,student,"<Z corr=""I have a favorite spot"">spot</Z>",spot,I have a favorite spot
32,66,student,student,"<GA corr=""A"">\0</GA> cafe nearby  cafe nearby",\0 cafe nearby,A cafe nearby
33,68,student,student,"<DMCC corr=""Yes"">yes</DMCC>  <DMCC corr=""I"">i</DMCC>  <XVCO corr=""love to"">love</XVCO> eat  eat <GNN corr=""snacks"">snack</GNN> and drink.  and drink.",yes i love eat snack and drink.,Yes I love to eat snacks and drink.
