,index,speaker,turn_type,text_an,text_og,text_ok
0,0,student,student,Hi dear!,Hi dear!,Hi dear!
1,2,student,student,"Can we speak about <GA corr=""\0"">the</GA> summer and <GA corr=""\0"">the</GA> travel?",Can we speak about the summer and the travel?,Can we speak about \0 summer and \0 travel?
2,4,student,student,"Yeah, I remember my last travel destination in Puglia, Italy with my boyfriend and his friends. So much fun but <QR corr=""\0"">,</QR> I <GVT corr=""did"">do</GVT> not see <GPI corr=""anything"">nothing</GPI> <WR corr=""\0"">of</WR> archeological.","Yeah, I remember my last travel destination in Puglia, Italy with my boyfriend and his friends. So much fun but, I do not see nothing of archeological.","Yeah, I remember my last travel destination in Puglia, Italy with my boyfriend and his friends. So much fun but \0 I did not see anything \0 archeological."
3,6,student,student,"Thank you so much for your help, you're so precious!","Thank you so much for your help, you're so precious!","Thank you so much for your help, you're so precious!"
4,8,student,student,"Can you teach me how <GA corr=""\0"">the</GA> people <GVN corr=""choose"">chooses</GVN> <GDO corr=""\0"">their</GDO> <GVNF corr=""whether to travel"">None</GVNF> <WM corr=""whether"">\0</WM> travel <WR corr=""\0"">trip</WR> with <GPI corr=""someone"">something</GPI> else or alone?",Can you teach me how the people chooses their \0 travel trip with something else or alone?,Can you teach me how \0 people choose \0 whether to travel whether travel \0 with someone else or alone?
5,10,student,student,"Wow, <GVNF corr=""travelling"">travel</GVNF> alone <GVN corr=""gives"">give</GVN> <GPP corr=""you"">\0</GPP> so many <LWCO corr=""things to reflect on"">points of reflection</LWCO>, <GVAUX corr=""do"">are</GVAUX> you agree with that?","Wow, travel alone give \0 so many points of reflection, are you agree with that?","Wow, travelling alone gives you so many things to reflect on, do you agree with that?"
6,12,student,student,"Yeah, so true. Can we speak <FS corr=""about"">abou</FS> something else?","Yeah, so true. Can we speak abou something else?","Yeah, so true. Can we speak about something else?"
7,14,student,student,"<GA corr=""\0"">The</GA> <DMCC corr=""Climate"">climate</DMCC> change and <GDO corr=""its"">his</GDO> impact on our environment.",The climate change and his impact on our environment.,\0 Climate change and its impact on our environment.
8,16,student,student,"Can we <LSV corr=""do"">make</LSV> a role play?",Can we make a role play?,Can we do a role play?
9,18,student,student,"Travel Planning, in this case, <LSV corr=""plan"">make</LSV> a trip in French Polynesia with a <LP corr=""travel agent"">trip agent</LP>!","Travel Planning, in this case, make a trip in French Polynesia with a trip agent!","Travel Planning, in this case, plan a trip in French Polynesia with a travel agent!"
10,20,student,student,"Hi, thank you for <FS corr=""your"">yor</FS> help. My dream comes true with this trip!","Hi, thank you for yor help. My dream comes true with this trip!","Hi, thank you for your help. My dream comes true with this trip!"
11,22,student,student,"<Z corr=""I'm interested in"">My interesting is about</Z> the most famous island in the archipelago. Tell me about that <QC corr=""."">?</QC>",My interesting is about the most famous island in the archipelago. Tell me about that?,I'm interested in the most famous island in the archipelago. Tell me about that .
12,24,student,student,"Yeah, so Bora Bora is perfect for me!","Yeah, so Bora Bora is perfect for me!","Yeah, so Bora Bora is perfect for me!"
13,26,student,student,"We <LSV corr=""plan"">make</LSV> every detail in a brilliant way. Can you <XVCO corr=""tell"">say</XVCO> me what I <GVAUX corr=""can"">\0</GVAUX> do <WR corr=""\0"">with</WR>?",We make every detail in a brilliant way. Can you say me what I \0 do with?,We plan every detail in a brilliant way. Can you tell me what I can do \0?
14,28,student,student,"Hmm... Interesting. I wanna make many videos for my Instagram and my TikTok pages because I wanna be a content creator in <GA corr=""the"">a</GA> future. Can you give <GPP corr=""me"">\0</GPP> some tips about my <LSN corr=""aspiration"">inspiration</LSN>?",Hmm... Interesting. I wanna make many videos for my Instagram and my TikTok pages because I wanna be a content creator in a future. Can you give \0 some tips about my inspiration?,Hmm... Interesting. I wanna make many videos for my Instagram and my TikTok pages because I wanna be a content creator in the future. Can you give me some tips about my aspiration?
15,30,student,student,"Thank you so much, really! Can you give <GPP corr=""me"">\0</GPP> some tips about the Bora Bora's environment <QC corr=""?"">'</QC>","Thank you so much, really! Can you give \0 some tips about the Bora Bora's environment'","Thank you so much, really! Can you give me some tips about the Bora Bora's environment ?"
